# ROCKNIX ABL release catalog: identifies a bootloader image as a specific ROCKNIX ABL release.
# Used by pocknix-restore-stock-abl to refuse a "stock" backup that is really a ROCKNIX ABL
# (a backup taken after flash_abl.sh, or after an ArmadaOS/ROCKNIX install), whatever version.
# SHA-256 covers `size` bytes from the start of the image or ABL partition.
# Source: ArmadaOS abl/releases.tsv (GPL-2.0-or-later, https://github.com/armada-os/armada),
# itself computed from the ROCKNIX ABL release tarballs (https://github.com/ROCKNIX/abl/releases).
# Holodor's own payload (1.1.7 SM8750, packages/pocknix-bootloader-sm8750) matches its row.
# Append new releases as ROCKNIX publishes them; never edit existing rows.
version	soc	size	sha256
1.1	SM8250	258048	739c20cd8d8c5adaa5c0e16ea0692dab83544cb2e85477e8b059ad8f67d7d8a9
1.1	SM8550	258048	d0cf9dc0228aea259d672ef9679639834cd2ba1b50d998c180dcd2b4baaf12d5
1.1	SM8650	258048	cc143a17c62125b020c0212b868cc592b5a9df464c0808c83e196459eb2cec89
1.1	SM8750	258048	d4c6444561858df59defc87dda2fc46509ebc062feee72a8254e7564dfa8e11f
1.1.1	SM8250	258048	1cc51a053fb8970aec431e7613f5c1e6ab707f557fcf5cec19e6406dfc5a3f0e
1.1.1	SM8550	258048	71a1702fd05399bfbb6660e93c12bfb580499b1ba332406a5b80e166c530bb9d
1.1.1	SM8650	258048	d9ec5f692a7b89a24569be1e1034fea1ab7e4dc22c475107e0705abe5342870a
1.1.1	SM8750	258048	3224c1620df032d6eccded178b9d0a03f1d568f0cb8d55b48d1bf9d494848338
1.1.2	SM8250	258048	2e78b4c7b06ccc92d2478a0b95834430de71f628bab463ca160329a832d8778e
1.1.2	SM8550	258048	c872dc78f74e24667a82c5dbeee0249924d73bbba6a19293802426582bebe12e
1.1.2	SM8650	258048	41186a751ed8e802b8717b3fab11bef7f9fe144498e1655b969a1fae5e9eaba2
1.1.2	SM8750	258048	83e995dc632edb698b42ce46fffb625c6bdff2da6133e1deff276ef6a2a76fb2
1.1.3	SM8250	258048	deb65f3c63f4c660a843f00552c25635da11487ef951b13dfc38a8c3c2735b8c
1.1.3	SM8550	258048	272dd3564548d356d0796be279a416ea6129a097ccf2fe789e2bcdd2cfa6e942
1.1.3	SM8650	258048	494579543a37aabf2ce61f0790df73e89b4a139e3926dca0e67da58977711180
1.1.3	SM8750	258048	baf3314b1b544097aa0605d5921eceb83671cee5e0eb9714fd66ba18c6f96e19
1.1.4	SM8250	258048	a976a18f0bde59c86eef0839bf7009a8b18b6dfc3264e892f9f37a0ed2805c06
1.1.4	SM8550	258048	760b51e13bb9314c72098b5f865762b23a00041ccbd76685000cec45e01fb00f
1.1.4	SM8650	258048	17108c9745f6ef7bc2044eee844b0423e87233b07d9c728ba16668f8be2e9c0c
1.1.4	SM8750	258048	209e1c17f869c08989fa6eb3804c5222f0387ef12bdae820bc14df09268ed590
1.1.5	SM8250	258048	27e9818ba9ca33fe5bf5b6d069eaf356cd48c42fad231f123972707e0de8b7f6
1.1.5	SM8550	258048	efa890e9000f462ac3f2d74ac2f40a22d82bb7f7645639296977dc638d00876b
1.1.5	SM8650	258048	e5c85f8c13dedbf1609832f3484d509cfdf9af3bdc26aa8416580906271dff56
1.1.5	SM8750	258048	cdaac6993adecce223f8e1d7547eb11d58d30a961de7b5ebd62604f451ad7128
1.1.6	SM8250	258048	d115de9ce9f5092a48e9d91523f2927b58e53b531ac7a583f72115b58573387c
1.1.6	SM8550	258048	edfa5172380a23bbd47890efdd05709b111a6309691fdf941f0cf5fb6d85312a
1.1.6	SM8650	258048	0f024566d7a7dc2c6e95e84f24525919b4b8a4b401c6ec1d825884c5444a53a5
1.1.6	SM8750	258048	179a0f6d9146bec1b026f7bde259527aeaaa1f6d203be2c7b6cd63dfbcaff106
1.1.7	SM8250	258048	a96f2677200b5b427983529c26eb496b738930a4100e7faa8d427b250d208ccb
1.1.7	SM8550	258048	99a40be4bdb438794a6b9005b8bf3aea2f6579a1f86bb19c55ec0316ae8cdc7d
1.1.7	SM8650	258048	3696dc1fe24debf604e87d384aabe0ec8ec9826cd1a69f6480b77d6730689002
1.1.7	SM8750	258048	79e822791bcf088f72ef90601da02bfb8e8b268bf0489965f0213e95de45c311
1.1.8	SM8250	258048	76cee62abbf9115ddbe2f0627703d341d6ef58d3c60a80829d957abae9b06b95
1.1.8	SM8550	258048	5f1018211feaa109563d5890ab52dccfb31db90f4bbe9e6b7fb39e94f860f8d4
1.1.8	SM8650	258048	4ed04dda4da2ac76bc27925ae68094c055a043697f1a1bee4b958b979905bed5
1.1.8	SM8750	258048	bedff34b99bd06202301e78ee5ee025b81d5144c9773de179b5f48ba3b38455a
